label,pred
0,0.10503086
1,0.9232311
0,0.93383574
1,0.10503086
1,0.58080745
1,0.8916289
0,0.9354625
0,0.10503086
1,0.99999726
1,0.950852
1,0.9769489
0,0.10503086
1,0.58400035
0,0.24307603
1,0.9825807
0,0.11253234
1,0.34114695
1,0.9047061
0,0.13014483
0,0.17648157
0,0.10503086
0,0.10503086
0,0.10503086
1,0.6688666
1,0.78374124
0,0.12994592
0,0.50632143
0,0.4873018
1,0.42959988
0,0.1267426
0,0.330107
0,0.86522657
1,0.98720366
1,0.10503086
1,0.79384893
0,0.10503086
0,0.23353606
0,0.10503086
1,0.42466396
1,0.9734379
1,0.9290324
1,0.9422609
1,0.9992938
0,0.24335837
1,0.9447872
1,0.51726407
0,0.72226304
1,0.84967446
0,0.53872484
1,0.75476587
1,0.27503374
0,0.10503086
0,0.10503086
0,0.99593097
1,0.98260707
1,0.97244805
0,0.38831878
1,0.51619714
1,0.86502594
0,0.20779102
1,0.9425859
0,0.10503086
0,0.10503086
1,0.8285758
0,0.10503086
0,0.10503086
0,0.65251696
0,0.10503086
1,0.487274
1,0.507924
1,0.6597328
0,0.19549607
0,0.30615115
1,0.99724543
1,0.3687933
1,0.9963642
0,0.19745071
1,0.8649546
1,0.75533926
1,0.61741143
0,0.35034025
0,0.26532406
1,0.5874448
0,0.4218635
1,0.9433194
0,0.13297942
0,0.10503086
0,0.10503086
0,0.10503086
1,0.9798464
1,0.95195323
1,0.8501129
0,0.58277285
1,0.7832762
0,0.24903797
0,0.7699447
0,0.10503086
0,0.41666377
0,0.77259624
0,0.5223691
1,0.9422492
0,0.59988713
0,0.10503086
1,0.18132216
1,0.29880363
1,0.7503834
0,0.8226884
0,0.97198176
1,0.58389866
0,0.10503086
1,0.99241114
0,0.25785264
0,0.10503086
1,0.39777836
0,0.10503086
1,0.9219659
1,0.8760045
0,0.10503086
0,0.16857563
0,0.70527154
1,0.689116
0,0.72585344
1,0.99847645
0,0.10503086
1,0.9516296
1,0.86178756
0,0.39655724
1,0.9833934
0,0.82355374
1,0.95816773
0,0.10503086
1,0.7882303
0,0.50790524
1,0.5758425
1,0.5835584
0,0.10503086
1,0.5320097
1,0.9839923
1,0.78250146
1,0.7336338
1,0.93177086
1,0.8593654
1,0.71154004
0,0.25041914
1,0.9909196
0,0.10503086
0,0.44924113
0,0.20779422
1,0.9349695
0,0.51093906
1,0.49312484
1,0.5087248
1,0.6031312
0,0.2608921
1,0.89498883
1,0.9431941
1,0.86185277
0,0.41130814
0,0.19440414
0,0.9115823
0,0.6511013
1,0.5448674
1,0.9917075
0,0.29119948
1,0.32303205
0,0.10503086
1,0.38044092
1,0.91731477
0,0.10503086
1,0.32519954
0,0.17812742
1,0.7713973
0,0.10503086
0,0.18776946
0,0.96906036
0,0.41296598
1,0.82384837
1,0.8843928
0,0.6820508
1,0.9185502
0,0.10503086
0,0.10503086
1,0.98662287
1,0.7782715
0,0.10503086
0,0.5591238
0,0.10503086
0,0.12973762
1,0.9725475
0,0.10503086
1,0.6390736
1,0.99074835
0,0.45226765
1,0.7395105
1,0.9332311
1,0.9390317
1,0.83378416
0,0.8260058
0,0.71321356
1,0.8319347
0,0.21479724
1,0.5704914
0,0.10503086
0,0.2046731
1,0.10503086
1,0.20182174
1,0.89265716
0,0.10503086
1,0.5958048
0,0.10503086
1,0.9570597
0,0.10503086
1,0.18558107
1,0.7502661
0,0.57903576
1,0.9668842
0,0.12827635
1,0.99986494
0,0.10503086
1,0.10503086
0,0.10503086
1,0.9886882
1,0.57470006
1,0.99456394
0,0.1621761
0,0.10503086
1,0.6437897
1,0.911923
1,0.10503086
0,0.27352107
1,0.2511164
0,0.15613914
1,0.5679895
0,0.10503086
0,0.10503086
0,0.5555424
0,0.37443668
0,0.11045337
1,0.42931345
0,0.10503086
0,0.8230146
0,0.30550802
1,0.9599079
0,0.10503086
0,0.10503086
0,0.811358
0,0.29933745
1,0.91710687
1,0.97150517
1,0.6241866
1,0.9171808
1,0.9827591
1,0.99375075
1,0.7704377
1,0.9961777
1,0.85464495
0,0.10503086
1,0.96051437
1,0.17426626
1,0.5677787
0,0.5532123
1,0.98950326
1,0.8064785
1,0.35450572
1,0.92683375
1,0.52854055
1,0.9254215
1,0.86725694
1,0.88892967
0,0.96745545
1,0.96784425
1,0.76531047
1,0.82112014
0,0.10503086
0,0.5986661
0,0.10503086
1,0.73941165
0,0.10503086
0,0.43707284
0,0.5464625
0,0.9608901
0,0.8215296
0,0.10503086
0,0.2566387
1,0.9410371
1,0.546635
1,0.93068427
0,0.10503086
0,0.4436843
1,0.16132323
1,0.9959025
1,0.9675532
1,0.90070295
0,0.123167455
1,0.9268539
0,0.10503086
0,0.21143673
1,0.9109746
0,0.10503086
0,0.60854095
0,0.938028
0,0.10503086
1,0.92775035
1,0.5749365
0,0.10503086
1,0.10503086
0,0.7788915
0,0.29229787
1,0.10503086
0,0.13723135
1,0.940881
1,0.9929309
0,0.27017385
1,0.54634684
1,0.8538975
1,0.89271784
0,0.10503086
0,0.21797386
1,0.92661905
1,0.8867967
1,0.99913293
1,0.99518186
1,0.9943585
0,0.10503086
0,0.10503086
1,0.94840574
1,0.10503086
1,0.89174664
1,0.9733059
0,0.2842573
0,0.82277185
0,0.10503086
0,0.3212126
0,0.73262346
0,0.10503086
0,0.1406193
1,0.9274842
1,0.10503086
0,0.26446912
1,0.90741825
0,0.6832269
0,0.23497185
0,0.10503086
1,0.9265703
0,0.98251665
0,0.17090763
0,0.96167815
0,0.1529989
0,0.10503086
0,0.74501693
0,0.9272009
0,0.28802383
0,0.8569647
0,0.15529867
0,0.25021374
0,0.99711967
0,0.7342427
0,0.10503086
0,0.40090162
0,0.10503086
0,0.14108469
1,0.10503086
1,0.7874095
0,0.39016593
1,0.9491885
0,0.14888878
1,0.7943499
0,0.10503086
1,0.9772271
0,0.42027202
1,0.7751517
1,0.56099117
0,0.10503086
0,0.98689264
0,0.10503086
1,0.684461
1,0.9236883
0,0.10503086
0,0.26620126
0,0.63971734
1,0.99040586
0,0.10503086
0,0.15326937
1,0.9997464
1,0.10503086
1,0.79516476
0,0.7554385
0,0.97459275
0,0.43420362
1,0.5883808
0,0.92160994
1,0.9614999
0,0.1933433
0,0.10503086
0,0.10503086
1,0.9619523
1,0.53490293
1,0.11185474
0,0.6759096
0,0.17609337
1,0.88900125
1,0.77485657
0,0.96434635
1,0.10503086
1,0.73452157
0,0.5495913
1,0.7892191
0,0.47044498
1,0.60659754
1,0.93091893
1,0.99396074
0,0.10503086
0,0.11553236
1,0.95762587
0,0.16371986
1,0.10503086
0,0.10503086
1,0.714737
0,0.35095343
0,0.334785
0,0.18893586
1,0.99864346
1,0.7999471
1,0.7747516
1,0.27555084
1,0.9684817
1,0.9788937
1,0.7855912
0,0.17784204
1,0.4612984
1,0.96210897
1,0.7789929
1,0.7831764
1,0.990564
0,0.54208815
0,0.45049176
1,0.932291
0,0.6280207
0,0.44582683
0,0.8402347
1,0.9656234
1,0.10828015
0,0.10503086
0,0.10503086
1,0.35869655
1,0.9642637
0,0.30332878
0,0.73122114
0,0.56154835
0,0.10503086
1,0.10503086
0,0.10503086
0,0.10503086
0,0.7035909
0,0.907978
0,0.33446348
1,0.8921296
1,0.8972568
0,0.34394833
0,0.10503086
0,0.10503086
0,0.8466676
1,0.10503086
0,0.10503086
0,0.5991218
0,0.5513087
1,0.9611141
0,0.10503086
0,0.11467171
0,0.10503086
0,0.10503086
1,0.5077066
1,0.8158734
1,0.97218275
0,0.2142133
0,0.42074886
1,0.7302635
0,0.404625
1,0.8431071
0,0.27370772
0,0.10503086
1,0.5457908
0,0.29825747
0,0.404625
0,0.26531386
1,0.95217735
1,0.95476836
1,0.946342
0,0.7276475
0,0.10503086
1,0.10503086
0,0.87323916
1,0.9317051
0,0.10503086
1,0.99032074
0,0.36105055
1,0.8335086
1,0.68566847
0,0.10503086
0,0.5425872
1,0.92097443
0,0.39378718
0,0.81727326
1,0.6445531
0,0.16525601
1,0.9267609
0,0.251572
0,0.10503086
1,0.42667004
1,0.77017576
0,0.7270202
1,0.8503803
0,0.3814924
0,0.10503086
0,0.81717527
1,0.10503086
0,0.10503086
1,0.10503086
0,0.10503086
0,0.10503086
0,0.20779419
0,0.121041365
1,0.34204277
1,0.9773383
1,0.93621635
0,0.749488
0,0.7674447
0,0.10503086
0,0.6335799
0,0.10503086
1,0.96707857
0,0.70417506
1,0.99291307
1,0.92179763
0,0.26288378
0,0.28505403
1,0.83224547
1,0.93236864
1,0.9932064
1,0.52254134
0,0.15261643
1,0.40714213
1,0.95874417
0,0.16981216
1,0.44831485
1,0.72759205
0,0.3156181
1,0.5224547
1,0.8625587
0,0.49814332
0,0.26550227
1,0.86799216
1,0.8486087
1,0.7323867
0,0.25771764
1,0.78847283
1,0.91473407
1,0.88913953
1,0.7910917
0,0.22960445
1,0.5974997
1,0.99639016
0,0.10503086
0,0.9230434
0,0.9873448
1,0.8522953
0,0.15323372
0,0.16222888
0,0.11946572
1,0.9399717
1,0.82056224
1,0.97768253
0,0.10503086
0,0.18034922
1,0.51481676
1,0.9905826
0,0.70382875
1,0.85431826
1,0.8932484
0,0.10503086
1,0.8718306
1,0.8907571
0,0.88187104
0,0.6487697
1,0.10503086
0,0.12642762
0,0.10503086
1,0.8309026
0,0.10503086
0,0.10503086
1,0.46796402
0,0.34436792
1,0.37136504
0,0.10503086
1,0.97381705
1,0.7487815
1,0.7818613
1,0.6940939
0,0.38231322
0,0.10503086
1,0.9574387
1,0.9906618
1,0.9859678
0,0.22472605
0,0.10503086
0,0.10503086
1,0.8346046
0,0.10503086
0,0.4387595
1,0.95652264
0,0.2276009
1,0.862402
1,0.7417307
0,0.10503086
0,0.10503086
1,0.9651733
0,0.13313077
0,0.122414455
0,0.10503086
1,0.30459976
0,0.2503672
0,0.7500432
0,0.16954263
1,0.9637717
0,0.22769749
0,0.27800122
0,0.10503086
0,0.21000417
0,0.9614596
0,0.10503086
1,0.7693018
1,0.9584739
1,0.92447037
0,0.9053631
1,0.8979427
0,0.6967546
1,0.8153918
0,0.10503086
1,0.9838082
0,0.17109068
1,0.91523963
0,0.6154474
1,0.49615982
0,0.12435274
1,0.7505049
1,0.77272713
1,0.67679536
0,0.10503086
1,0.7168958
0,0.2341093
1,0.992382
0,0.119178794
1,0.9999769
0,0.19321282
1,0.94568723
0,0.27450886
1,0.9050654
1,0.79191273
1,0.7182393
1,0.43070197
1,0.966969
0,0.10503086
1,0.7880181
0,0.10503086
1,0.10503086
1,0.92288536
0,0.29363054
1,0.521847
0,0.10503086
0,0.10503086
0,0.10503086
0,0.83479244
1,0.9992725
0,0.15599246
1,0.12521021
0,0.10810522
1,0.8854972
1,0.87899107
0,0.9317654
1,0.58569944
0,0.39954576
0,0.5388607
0,0.11356332
1,0.7054266
1,0.27145562
1,0.8658591
0,0.10503086
0,0.10503086
0,0.81401086
1,0.8080648
1,0.6596591
0,0.35305786
1,0.88369155
1,0.9990564
1,0.63394254
0,0.6832578
0,0.41826516
1,0.8938426
1,0.461956
0,0.15613249
1,0.30474666
1,0.9663241
1,0.86365604
0,0.948932
1,0.8924743
1,0.83855873
1,0.9645792
0,0.115522526
1,0.13953757
0,0.10503086
1,0.5061123
1,0.24178068
1,0.44960582
1,0.9200916
0,0.6324604
0,0.23781434
0,0.58057064
0,0.10503086
1,0.3921343
1,0.8213758
0,0.2179157
0,0.57852876
0,0.10503086
0,0.61643773
1,0.5800783
1,0.6693527
0,0.32701272
0,0.9260877
1,0.9971413
1,0.18656741
0,0.1563801
1,0.9731277
0,0.3865089
0,0.90963423
1,0.9703627
1,0.97461754
0,0.19751132
0,0.9205377
0,0.39534345
0,0.87362206
0,0.10825553
1,0.9585526
0,0.5652725
1,0.9947147
1,0.996114
1,0.24152873
0,0.11628794
1,0.93267065
1,0.96004146
1,0.72237885
1,0.92405754
1,0.830181
0,0.5151872
0,0.10503086
0,0.10503086
0,0.45421126
1,0.65057486
0,0.14270297
1,0.9966372
0,0.33036152
1,0.9498615
1,0.37354365
1,0.99542576
1,0.86013556
1,0.7353661
0,0.11545766
1,0.9308681
1,0.96417534
0,0.18344268
1,0.9428597
1,0.96292967
1,0.56699216
1,0.97030145
0,0.13365306
1,0.8410091
0,0.84865636
0,0.10503086
0,0.10503086
1,0.8639967
0,0.1815801
1,0.82261443
1,0.8733418
0,0.30112523
0,0.7932679
1,0.91367936
1,0.98598886
1,0.9830126
1,0.9622708
0,0.10503086
0,0.10503086
1,0.80259347
0,0.14152196
1,0.4749889
0,0.11405909
0,0.28351492
1,0.73290277
1,0.7305422
0,0.10503086
0,0.10503086
1,0.98087317
0,0.20682348
0,0.5601329
1,0.10503086
0,0.10503086
1,0.7677853
1,0.6138188
0,0.1759277
1,0.7636053
0,0.10503086
0,0.84434867
0,0.10503086
0,0.8264886
1,0.7322555
1,0.27975103
1,0.9966871
0,0.20859928
0,0.19369118
0,0.10503086
0,0.6050013
1,0.79883045
1,0.7405326
0,0.4336794
1,0.30038255
0,0.10503086
0,0.29307914
1,0.7756225
0,0.31129786
0,0.18863676
1,0.10503086
0,0.14936377
0,0.2116249
1,0.97226906
0,0.19776657
1,0.9975515
1,0.9216136
1,0.923997
1,0.99279046
0,0.10503086
1,0.9862113
1,0.10503086
1,0.9954821
1,0.9194229
0,0.3632202
1,0.84256583
1,0.96329975
0,0.21849285
1,0.24185301
0,0.4238694
0,0.41639706
1,0.7949815
1,0.52607656
1,0.97707623
0,0.42176333
1,0.88267773
0,0.29819933
1,0.8647373
1,0.45406237
1,0.96080065
0,0.18284144
0,0.11336501
0,0.19821881
0,0.5297882
1,0.99568474
1,0.90186656
1,0.9436498
0,0.10503086
0,0.10503086
1,0.90728194
1,0.7367637
1,0.8772474
0,0.10503086
1,0.96452934
1,0.50379866
1,0.6048718
0,0.3951097
0,0.10503086
0,0.80850786
1,0.36648276
1,0.987293
0,0.77742475
1,0.96904737
0,0.76429063
0,0.10503086
0,0.75560915
1,0.9295618
1,0.87796813
1,0.99211746
0,0.10503086
0,0.34191304
0,0.10503086
0,0.43184847
0,0.21604973
1,0.8934256
0,0.10503086
0,0.65109605
0,0.3019998
1,0.12941234
1,0.6460079
1,0.5816742
0,0.55956787
1,0.9998605
1,0.43534273
0,0.3469164
1,0.5960027
0,0.10503086
1,0.9743158
1,0.1712822
1,0.76936233
0,0.37739205
1,0.85163915
0,0.10503086
1,0.9837414
0,0.3121543
0,0.33501253
0,0.73691046
0,0.10503086
1,0.84776473
0,0.10503086
0,0.16658197
0,0.704206
1,0.8136354
1,0.9574965
0,0.10503086
1,0.9150452
0,0.43364394
1,0.98058313
0,0.4960568
0,0.4587209
1,0.7844012
1,0.86743724
1,0.22357109
0,0.15441686
1,0.7926305
1,0.99695814
1,0.85743314
0,0.5259169
1,0.9978381
1,0.99331975
1,0.9135954
0,0.8981323
1,0.94948554
1,0.61465347
0,0.3067244
0,0.20334864
1,0.9871098
1,0.45309824
1,0.83422524
1,0.8857158
1,0.91451824
0,0.10503086
1,0.6412584
1,0.9598249
