feature,value,position,modification
event_mean,122.6,-2,1
event_stdv,4.711,-2,1
event_length,0.00697,-2,1
event_mean,124.53265,-1,1
event_stdv,4.376976,-1,1
event_length,0.009343,-1,1
event_mean,101.16,0,1
event_stdv,3.065,0,1
event_length,0.00365,0,1
event_mean,95.12392,1,1
event_stdv,2.247739,1,1
event_length,0.003885,1,1
event_mean,91.87,2,1
event_stdv,1.715,2,1
event_length,0.00332,2,1
event_mean,124.47,-2,1
event_stdv,5.397,-2,1
event_length,0.02058,-2,1
event_mean,123.48,-1,1
event_stdv,7.75,-1,1
event_length,0.01262,-1,1
event_mean,101.29275,0,1
event_stdv,3.301209,0,1
event_length,0.009876,0,1
event_mean,95.35,1,1
event_stdv,1.552,1,1
event_length,0.00598,1,1
event_mean,88.93,2,1
event_stdv,1.885,2,1
event_length,0.00365,2,1
event_mean,124.44,-2,1
event_stdv,5.847,-2,1
event_length,0.00598,-2,1
event_mean,120.839165,-1,1
event_stdv,7.013983,-1,1
event_length,0.005989,-1,1
event_mean,101.38,0,1
event_stdv,2.796,0,1
event_length,0.0176,0,1
event_mean,96.29129,1,1
event_stdv,2.711952,1,1
event_length,0.006305,1,1
event_mean,83.64,2,1
event_stdv,2.108765,2,1
event_length,0.008925,2,1
event_mean,120.96225,-2,1
event_stdv,5.251819,-2,1
event_length,0.016403,-2,1
event_mean,121.98,-1,1
event_stdv,6.298,-1,1
event_length,0.00398,-1,1
event_mean,104.222305,0,1
event_stdv,5.012615,0,1
event_length,0.004958,0,1
event_mean,98.3,1,1
event_stdv,2.125,1,1
event_length,0.00266,1,1
event_mean,90.73,2,1
event_stdv,2.535,2,1
event_length,0.00564,2,1
event_mean,119.425,-2,1
event_stdv,4.904708,-2,1
event_length,0.004672,-2,1
event_mean,125.87533,-1,1
event_stdv,4.639131,-1,1
event_length,0.007429,-1,1
event_mean,99.306984,0,1
event_stdv,2.539953,0,1
event_length,0.011651,0,1
event_mean,96.509766,1,1
event_stdv,2.22593,1,1
event_length,0.010382,1,1
event_mean,90.19,2,1
event_stdv,2.492,2,1
event_length,0.00299,2,1
event_mean,120.16,-2,1
event_stdv,5.36,-2,1
event_length,0.02058,-2,1
event_mean,123.09543,-1,1
event_stdv,5.504971,-1,1
event_length,0.005394,-1,1
event_mean,98.7874,0,1
event_stdv,2.098932,0,1
event_length,0.006652,0,1
event_mean,92.1424,1,1
event_stdv,2.20982,1,1
event_length,0.006862,1,1
event_mean,89.75,2,1
event_stdv,1.795,2,1
event_length,0.00299,2,1
event_mean,117.8087,-2,1
event_stdv,4.65671,-2,1
event_length,0.013696,-2,1
event_mean,123.33,-1,1
event_stdv,4.553,-1,1
event_length,0.02025,-1,1
event_mean,98.59804,0,1
event_stdv,2.540821,0,1
event_length,0.007671,0,1
event_mean,92.02,1,1
event_stdv,2.831,1,1
event_length,0.00365,1,1
event_mean,89.35,2,1
event_stdv,1.494,2,1
event_length,0.00232,2,1
event_mean,117.42,-2,1
event_stdv,4.865,-2,1
event_length,0.01527,-2,1
event_mean,124.57,-1,1
event_stdv,5.004,-1,1
event_length,0.0083,-1,1
event_mean,99.38,0,1
event_stdv,3.028,0,1
event_length,0.00531,0,1
event_mean,92.104164,1,1
event_stdv,1.613333,1,1
event_length,0.006141,1,1
