feature,value,position,modification
event_mean,95.1,-2,1
event_stdv,2.809,-2,1
event_length,0.01461,-2,1
event_mean,110.4,-1,1
event_stdv,3.186,-1,1
event_length,0.00299,-1,1
event_mean,122.71,0,1
event_stdv,7.265,0,1
event_length,0.02756,0,1
event_mean,94.77,1,1
event_stdv,8.47,1,1
event_length,0.00598,1,1
event_mean,79.31,2,1
event_stdv,1.362,2,1
event_length,0.00332,2,1
event_mean,107.97,-2,1
event_stdv,2.343,-2,1
event_length,0.00498,-2,1
event_mean,114.645,-1,1
event_stdv,3.472,-1,1
event_length,0.00432,-1,1
event_mean,115.16,0,1
event_stdv,6.827,0,1
event_length,0.01428,0,1
event_mean,87.34,1,1
event_stdv,2.257,1,1
event_length,0.00697,1,1
event_mean,77.40281,2,1
event_stdv,1.648333,2,1
event_length,0.003884,2,1
event_mean,109.67,-2,1
event_stdv,2.786,-2,1
event_length,0.00498,-2,1
event_mean,121.04,-1,1
event_stdv,3.045,-1,1
event_length,0.01062,-1,1
event_mean,112.41,0,1
event_stdv,5.421,0,1
event_length,0.00166,0,1
event_mean,87.84619,1,1
event_stdv,1.33681,1,1
event_length,0.003688,1,1
event_mean,78.18586,2,1
event_stdv,1.723759,2,1
event_length,0.003404,2,1
event_mean,111.56,-2,1
event_stdv,3.332,-2,1
event_length,0.00432,-2,1
event_mean,123.54,-1,1
event_stdv,1.584,-1,1
event_length,0.01228,-1,1
event_mean,124.55,0,1
event_stdv,7.277,0,1
event_length,0.0093,0,1
event_mean,92.32,1,1
event_stdv,3.912,1,1
event_length,0.00963,1,1
event_mean,87.12,2,1
event_stdv,1.519,2,1
event_length,0.00232,2,1
event_mean,97.89,-2,1
event_stdv,2.4,-2,1
event_length,0.00232,-2,1
event_mean,118.58355,-1,1
event_stdv,2.564968,-1,1
event_length,0.005193,-1,1
event_mean,123.69,0,1
event_stdv,5.768,0,1
event_length,0.01394,0,1
event_mean,86.58,1,1
event_stdv,1.366,1,1
event_length,0.00432,1,1
event_mean,77.58,2,1
event_stdv,1.894,2,1
event_length,0.00232,2,1
event_mean,101.04125,-2,1
event_stdv,3.6355,-2,1
event_length,0.002821,-2,1
event_mean,111.36,-1,1
event_stdv,1.824,-1,1
event_length,0.00365,-1,1
event_mean,121.43,0,1
event_stdv,4.69,0,1
event_length,0.01594,0,1
event_mean,88.64,1,1
event_stdv,1.983,1,1
event_length,0.005533,1,1
event_mean,79.95,2,1
event_stdv,2.405,2,1
event_length,0.00598,2,1
event_mean,111.536,-2,1
event_stdv,2.134093,-2,1
event_length,0.007415,-2,1
event_mean,121.67,-1,1
event_stdv,2.052,-1,1
event_length,0.00465,-1,1
event_mean,122.5752,0,1
event_stdv,6.06364,0,1
event_length,0.00421,0,1
event_mean,91.17,1,1
event_stdv,1.642,1,1
event_length,0.00398,1,1
event_mean,80.93,2,1
event_stdv,2.751,2,1
event_length,0.00432,2,1
event_mean,111.24,-2,1
event_stdv,1.999,-2,1
event_length,0.0083,-2,1
event_mean,119.44,-1,1
event_stdv,2.937,-1,1
event_length,0.00896,-1,1
event_mean,114.54,0,1
event_stdv,3.249,0,1
event_length,0.00564,0,1
event_mean,87.16,1,1
event_stdv,1.624,1,1
event_length,0.00797,1,1
event_mean,79.7625,2,1
event_stdv,1.72025,2,1
event_length,0.006642,2,1
event_mean,106.76,-2,1
event_stdv,5.785,-2,1
event_length,0.00398,-2,1
event_mean,118.31021,-1,1
event_stdv,2.036,-1,1
event_length,0.00433,-1,1
event_mean,123.94,0,1
event_stdv,5.878,0,1
event_length,0.00531,0,1
event_mean,90.547775,1,1
event_stdv,2.596333,1,1
event_length,0.004536,1,1
event_mean,84.48,2,1
event_stdv,3.106,2,1
event_length,0.01162,2,1
event_mean,109.80269,-2,1
event_stdv,1.422231,-2,1
event_length,0.004417,-2,1
event_mean,116.38,-1,1
event_stdv,2.745,-1,1
event_length,0.00963,-1,1
event_mean,117.72,0,1
event_stdv,3.5,0,1
event_length,0.01793,0,1
event_mean,86.77,1,1
event_stdv,1.299,1,1
event_length,0.00697,1,1
event_mean,79.315,2,1
event_stdv,1.592,2,1
event_length,0.004234,2,1
event_mean,108.6,-2,1
event_stdv,2.146,-2,1
event_length,0.0083,-2,1
event_mean,116.488,-1,1
event_stdv,2.03415,-1,1
event_length,0.006706,-1,1
event_mean,122.02,0,1
event_stdv,7.734,0,1
event_length,0.02158,0,1
event_mean,89.85,1,1
event_stdv,3.769,1,1
event_length,0.00332,1,1
event_mean,77.96111,2,1
event_stdv,2.441704,2,1
event_length,0.005229,2,1
event_mean,116.47,-2,1
event_stdv,3.302,-2,1
event_length,0.00432,-2,1
event_mean,118.795,-1,1
event_stdv,2.175053,-1,1
event_length,0.003301,-1,1
event_mean,124.9,0,1
event_stdv,2.294,0,1
event_length,0.01029,0,1
event_mean,90.655,1,1
event_stdv,2.304,1,1
event_length,0.00531,1,1
event_mean,78.984055,2,1
event_stdv,1.374676,2,1
event_length,0.006899,2,1
event_mean,110.84419,-2,1
event_stdv,2.035323,-2,1
event_length,0.006049,-2,1
event_mean,115.87143,-1,1
event_stdv,1.903,-1,1
event_length,0.00474,-1,1
event_mean,85.448,1,1
event_stdv,2.4248,1,1
event_length,0.002501,1,1
event_mean,82.74,2,1
event_stdv,1.639,2,1
event_length,0.00232,2,1
event_mean,110.14,-2,1
event_stdv,2.014,-2,1
event_length,0.0083,-2,1
event_mean,117.1,-1,1
event_stdv,3.471,-1,1
event_length,0.00398,-1,1
event_mean,122.4968,0,1
event_stdv,5.64672,0,1
event_length,0.009906,0,1
event_mean,91.01,1,1
event_stdv,2.51,1,1
event_length,0.00963,1,1
event_mean,80.552986,2,1
event_stdv,1.457766,2,1
event_length,0.014094,2,1
event_mean,100.649925,-2,1
event_stdv,2.013357,-2,1
event_length,0.007893,-2,1
event_mean,114.38808,-1,1
event_stdv,2.373635,-1,1
event_length,0.009459,-1,1
event_mean,117.42,0,1
event_stdv,4.124,0,1
event_length,0.00697,0,1
event_mean,86.54,1,1
event_stdv,1.581,1,1
event_length,0.00697,1,1
event_mean,82.27,2,1
event_stdv,1.772,2,1
event_length,0.00797,2,1
event_mean,108.53378,-2,1
event_stdv,1.872351,-2,1
event_length,0.007765,-2,1
event_mean,120.38,-1,1
event_stdv,2.88872,-1,1
event_length,0.004475,-1,1
event_mean,119.19,0,1
event_stdv,8.7,0,1
event_length,0.0083,0,1
event_mean,87.36,1,1
event_stdv,1.867,1,1
event_length,0.00432,1,1
event_mean,76.0105,2,1
event_stdv,1.7553,2,1
event_length,0.003353,2,1
event_mean,106.68599,-2,1
event_stdv,2.66409,-2,1
event_length,0.008064,-2,1
event_mean,122.08,-1,1
event_stdv,1.986,-1,1
event_length,0.00498,-1,1
event_mean,130.43,0,1
event_stdv,2.047,0,1
event_length,0.00432,0,1
event_mean,93.17593,1,1
event_stdv,4.720778,1,1
event_length,0.003085,1,1
event_mean,84.43,2,1
event_stdv,1.368,2,1
event_length,0.00266,2,1
event_mean,112.48269,-2,1
event_stdv,1.693968,-2,1
event_length,0.00929,-2,1
event_mean,112.72,-1,1
event_stdv,2.175,-1,1
event_length,0.01726,-1,1
event_mean,119.47,0,1
event_stdv,10.64,0,1
event_length,0.00564,0,1
event_mean,89.43965,1,1
event_stdv,1.605345,1,1
event_length,0.003309,1,1
event_mean,78.24,2,1
event_stdv,2.154,2,1
event_length,0.00332,2,1
event_mean,111.376816,-2,1
event_stdv,2.169455,-2,1
event_length,0.005057,-2,1
event_mean,115.451706,-1,1
event_stdv,4.301659,-1,1
event_length,0.00394,-1,1
event_mean,119.95,0,1
event_stdv,3.467,0,1
event_length,0.00398,0,1
event_mean,86.86,1,1
event_stdv,4.284,1,1
event_length,0.01262,1,1
event_mean,81.24,2,1
event_stdv,2.879,2,1
event_length,0.00232,2,1
event_mean,108.29064,-2,1
event_stdv,1.803489,-2,1
event_length,0.004358,-2,1
event_mean,109.46,-1,1
event_stdv,1.568,-1,1
event_length,0.00432,-1,1
event_mean,123.18,0,1
event_stdv,5.713,0,1
event_length,0.01262,0,1
event_mean,89.18,1,1
event_stdv,2.831,1,1
event_length,0.00531,1,1
event_mean,79.25,2,1
event_stdv,3.474,2,1
event_length,0.00398,2,1
event_mean,112.23,-1,1
event_stdv,2.307,-1,1
event_length,0.00764,-1,1
event_mean,122.78,0,1
event_stdv,3.684,0,1
event_length,0.00498,0,1
event_mean,85.94,1,1
event_stdv,3.624,1,1
event_length,0.00232,1,1
event_mean,79.64,2,1
event_stdv,1.017,2,1
event_length,0.00232,2,1
event_mean,102.71944,-2,1
event_stdv,2.036321,-2,1
event_length,0.006272,-2,1
event_mean,120.929535,-1,1
event_stdv,2.597372,-1,1
event_length,0.009553,-1,1
event_mean,121.9,0,1
event_stdv,7.386,0,1
event_length,0.00631,0,1
event_mean,87.82,1,1
event_stdv,3.657,1,1
event_length,0.00664,1,1
